Holiday gift shipments - exported 2026,,,,
Recipient,Address,"City, State Zip",Tracking ID,Sent On
Lynn Vasquez,343 David Mountain,"Cold Brook, NY 13324",9400088147435031365021,08/09/2026
Gary Foster,35577 Debbie Orchard,"Sebastian, FL 32958",9400792513271950052810,08/30/2026
Julia Olsen,"495 Jared Spur, Suite 381","Perry, FL 32348",9400306524077848739284,08/23/2026
Andre Terrell,"962 Michelle Terrace, Suite 774","Honeoye Falls, NY 14472",9400182744857086209594,08/27/2026
Jonathan Young,"3842 Neil Camp Apt. 178, Suite 132","Idaho City, ID 83631",9400782945651181022039,08/31/2026
Thomas Oconnor,2182 Jenny Mount Suite 810,"Clinton, WI 53525",9400789940539103717055,08/17/2026
Angel Meyer,94353 Justin Place Suite 714,"Tucson, AZ 85746",9400014138113863383925,08/17/2026
Ashley Daniels,"2493 Charles Ridge Suite 870, Apt 392","Wellesley, MA 02482",9400761228685289755853,08/07/2026
Anthony Simmons,997 Edwards Viaduct,"Brevard, NC 28712",9400398368457760049080,08/30/2026
Thomas Duran,71747 Hall Fork,"North Creek, NY 12853",9400504888992107522450,08/06/2026
Lindsey Anderson,1581 Patel Locks,"New Galilee, PA 16141",9400315727919409610557,08/06/2026
John Jones,"9583 Elaine Club Suite 199, Apt 375","North Waterboro, ME 04061",604805892583,08/30/2026
Tyler Jones,965 Newman Circle,"Wyoming, IL 61491",9400136462251790864162,08/18/2026
Taylor Robbins,"90986 Melissa Circle Suite 800, Suite 452","Oxford, NC 27565",9400693898331465911663,08/23/2026
Kevin Garrett,6683 Thomas Field Suite 562,"Whigham, GA 39897",597927033521,08/31/2026
Alan Griffith,"621 Dawn Mall Suite 969, Suite 594","Hermansville, MI 49847",514770538338,08/18/2026
Darius Coleman,738 Jenkins Plains,"Ocala, FL 34480",9400069804204394070166,08/13/2026
Patrick Horne,894 Rebecca Place,"Huntington Beach, CA 92646",368157981238780,09/02/2026
John Jackson,"490 Washington Crossroad, Apt 78","Visalia, CA 93292",555438404608,08/04/2026
Denise Scott,292 Wood Extensions,"Bethany, IL 61914",9400689363926495782325,08/16/2026
Shannon Cooper,"6637 Jason Street, Apt 164","Canton, OH 44721",629251881252,08/11/2026
Joseph Graham,"6580 Samantha Route Suite 694, Apt 184","Glenham, SD 57631",231220994999393,08/27/2026
Sandra Smith,175 Jessica Glen,"Ovalo, TX 79541",526772233060463,08/11/2026
Matthew Jones,"6542 Joshua Circle Suite 650, Suite 139","Corona, CA 92878",975736609656999,08/17/2026
Ashley Alexander,"01194 Smith Parks Apt. 006, Suite 155","Hopatcong, NJ 07843",9400038860868034764475,08/29/2026
Michael Wise,6183 Patrick Spurs Suite 198,"Greeneville, TN 37745",9400718129826657027934,08/06/2026
Tina Davis,74328 Tammy Shore Apt. 461,"Round Top, NY 12473",9400175186892686025926,08/29/2026
Sandra Cole,"50506 Jason Shoal, Apt 338","Hughson, CA 95326",9400742123094077780970,08/27/2026
Summer Hoover,9291 Danny Ranch,"Long Beach, CA 90815",9400903849830220502091,08/08/2026
Peter Jackson,"273 Dennis Turnpike Suite 207, Apt 195","Youngwood, PA 15697",499982795014,08/24/2026
Linda Campbell,"232 Mills Loop Apt. 290, Apt 362","Flushing, NY 11354",9400721458683390198173,08/11/2026
Rachel Bailey,195 Steven Road,"Jacksonville, FL 32222",9400899529978772934306,08/31/2026
Tracy Wells,543 King Ridges,"Angelus Oaks, CA 92305",055830344144885,08/10/2026
Paul Villanueva,53136 Nicholas Forges,"Rome, IN 47574",9400023557702727857608,08/08/2026
Timothy Gibson,2735 Harris Crossroad Apt. 904,"Gilboa, NY 12076",9400955124056829962914,08/07/2026
Greg Tanner,929 Christopher Walks,"Butte, NE 68722",9400173574384215031784,09/03/2026
Amanda Ruiz,7318 Heather Lodge,"Sawyer, ND 58781",9400845218230768104099,08/07/2026
Mrs. Maureen Martin DDS,"7262 Sims Squares, Suite 737","Topton, PA 19562",094353344857142,08/29/2026
Andrew Simmons,989 Kristin Common Suite 085,"Weems, VA 22576",9400585424932149587029,09/03/2026
Mariah Mclaughlin,"355 Gordon Manors, Apt 351","Onalaska, WA 98570",9400629979545381792173,08/31/2026
Steven Roberts,24127 Nancy Pike,"Vallecito, CA 95251",945625577017,08/31/2026
Kara Fisher,569 Rios Turnpike,"Crawford, GA 30630",9400281615814876963936,08/17/2026
Tyler Montgomery,"842 Mary Square, Apt 91","San Francisco, CA 94104",695832197199758,08/31/2026
Jerry Cantrell,06727 Moore Streets Suite 474,"Reno, OH 45773",9400965701329022784693,08/16/2026
Martin Silva,3018 Rhodes Corners,"Emeryville, CA 94608",651909862405800,08/12/2026
Terri Kerr,2656 Smith Key Suite 478,"North Stratford, NH 03590",9400965666683272386563,08/30/2026
Leslie Bennett,"4628 Page Throughway, Suite 534","Buffalo, NY 14212",9400276212679692786878,08/22/2026
Brittany Evans,46273 David Harbor Suite 195,"San Marcos, CA 92069",9400384689500975197121,08/11/2026
Dominic Barnes,44818 Katie Falls Apt. 928,"Kendrick, ID 83537",9400913718949058077876,08/16/2026
Thomas Garcia,7112 Timothy Inlet,"Hiawassee, GA 30546",9400949407929049047121,08/18/2026
Gloria Mckinney,"132 Hailey Inlet, Apt 305","Knightstown, IN 46148",9400401929275243728053,09/01/2026
Rachel Jones,"0310 Taylor Glen Apt. 140, Apt 273","San Diego, CA 92126",9400637239504102767474,08/11/2026
Christina Lambert,"24955 Melissa Tunnel, Suite 361","White Lake, WI 54491",9400428604765801856942,08/24/2026
Ashley Davenport,3836 Kathleen Island Apt. 718,"Garfield, GA 30425",938525800106,08/31/2026
Jason Mercer,520 Powers Locks Suite 811,"Los Angeles, CA 90023",9400300910939111926924,08/06/2026
Rebecca Harding,"8427 David Overpass Suite 320, Apt 103","Williamstown, NJ 08094",465421406650442,08/20/2026
Jonathan Wagner,"800 Beard Crest Suite 756, Apt 1","Critz, VA 24082",9400286391741011947071,08/30/2026
Melissa Armstrong,280 Baker Ramp Suite 954,"Erwin, SD 57233",908776618306719,08/17/2026
Matthew Watkins,507 Bradley Manor,"Reno, NV 89510",9400158517432806346150,08/19/2026
Jeffrey Crawford,"344 Kenneth Ports, Suite 783","San Diego, CA 92122",9400937618478700505063,08/31/2026
Robert Pearson,66498 Powers Plaza Apt. 082,"Moriah Center, NY 12961",931027079032,09/03/2026
Jennifer Dalton,364 Lucas Glens,"Martinsville, MO 64467",9400911179931365651989,08/30/2026
Robert Collins,660 Erik Dale Apt. 448,"Riviera, TX 78379",9400142625827390219626,09/03/2026
Kathryn Martinez,1391 Murphy Prairie Suite 363,"Glen Dale, WV 26038",9400946723248763290922,08/12/2026
Sherry Giles,5409 Mckenzie Shore Apt. 348,"Conrad, MT 59425",9400331819588373403122,08/13/2026
Sherry Wang,"7656 Madison Square, Suite 596","Walton, IN 46994",543645970108,08/29/2026
David Reeves,"657 Russo Dale, Apt 242","Bleiblerville, TX 78931",995635315313636,08/06/2026
Maria Sims,"206 Burke Drive Apt. 529, Apt 239","Brooksville, FL 34602",9400397265273543520907,08/26/2026
Chelsey White,44397 Mike Spur,"Black, AL 36314",9400492929831687397743,09/03/2026
Teresa Coffey DDS,"6528 Beverly Green Apt. 875, Apt 386","Boiling Springs, PA 17007",9400929060078068671772,08/27/2026
